model,fold_id,event_district_id,source_record_id,observed,expected,alpha,absolute_error,negative_log_probability,predictive_low_90,predictive_high_90,interval_covered,interval_width,observed_zero,predicted_zero_probability
nb2,4,E053::siwan,2017-0342-IND,1.0,34.39472772778331,4.355027621160563,33.39472772778331,2.6297313375768887,0.0,171.0,1.0,171.0,0.0,0.31608422780697093
nb2,4,E053::supaul,2017-0342-IND,78.0,27.067565532523865,4.355027621160563,50.932434467476135,6.491451386278801,0.0,135.0,1.0,135.0,0.0,0.3338214269086842
nb2,4,E053::west%20champaran,2017-0342-IND,159.0,27.40182463613762,4.355027621160563,131.59817536386237,7.710253969077248,0.0,136.0,0.0,136.0,0.0,0.3328898120180693
nb2,4,E054::ayodhya,2017-0342-IND,31.0,34.95728974616224,4.355027621160563,3.957289746162239,5.384690181700837,0.0,174.0,1.0,174.0,0.0,0.31491663101724515
nb2,4,E054::azamgarh,2017-0342-IND,0.0,31.256829124207442,4.355027621160563,31.256829124207442,1.1299327207476981,0.0,156.0,1.0,156.0,1.0,0.3230549905893347
nb2,4,E054::bahraich,2017-0342-IND,8.0,29.214967220595803,4.355027621160563,21.214967220595803,4.1682500342923445,0.0,145.0,1.0,145.0,0.0,0.32806701684573336
nb2,4,E054::balrampur,2017-0342-IND,7.0,26.841713062859373,4.355027621160563,19.841713062859373,4.044694832948663,0.0,134.0,1.0,134.0,0.0,0.33445887887444015
nb2,4,E054::barabanki,2017-0342-IND,1.0,33.12515801135567,4.355027621160563,32.12515801135567,2.6214077820096278,0.0,165.0,1.0,165.0,0.0,0.3188071632518978
nb2,4,E054::basti,2017-0342-IND,0.0,31.62659836775137,4.355027621160563,31.62659836775137,1.1326136074224462,0.0,157.0,1.0,157.0,1.0,0.3221900766559946
nb2,4,E054::ghazipur,2017-0342-IND,0.0,37.02285174562619,4.355027621160563,37.02285174562619,1.1685458014732328,0.0,184.0,1.0,184.0,1.0,0.31081860473881506
nb2,4,E054::gonda,2017-0342-IND,8.0,32.11712596135667,4.355027621160563,24.11712596135667,4.184195670567275,0.0,160.0,1.0,160.0,0.0,0.32106156419014265
nb2,4,E054::gorakhpur,2017-0342-IND,6.0,29.31070229013299,4.355027621160563,23.31070229013299,3.935334728797933,0.0,146.0,1.0,146.0,0.0,0.3278225779387574
nb2,4,E054::maharajganj,2017-0342-IND,3.0,26.676860932794195,4.355027621160563,23.676860932794195,3.374105122235008,0.0,133.0,1.0,133.0,0.0,0.334928304759922
nb2,4,E054::shrawasti,2017-0342-IND,9.0,27.03289628551325,4.355027621160563,18.03289628551325,4.25354714385576,0.0,135.0,1.0,135.0,0.0,0.3339188561105376
nb2,4,E054::siddharthnagar,2017-0342-IND,8.0,25.483546142374735,4.355027621160563,17.483546142374735,4.146264753226622,0.0,127.0,1.0,127.0,0.0,0.3384353096503146
nb2,4,E054::sitapur,2017-0342-IND,2.0,35.31022674822829,4.355027621160563,33.31022674822829,3.128475993574523,0.0,176.0,1.0,176.0,0.0,0.3141957655878333
nb2,4,E055::bankura,2017-0342-IND,1.0,27.66833520691984,4.355027621160563,26.66833520691984,2.581743562616427,0.0,138.0,1.0,138.0,0.0,0.33215689322768627
nb2,4,E055::birbhum,2017-0342-IND,1.0,28.61878744804536,4.355027621160563,27.61878744804536,2.589162756463881,0.0,142.0,1.0,142.0,0.0,0.3296115527070994
nb2,4,E055::cooch%20behar,2017-0342-IND,56.0,26.644079611530604,4.355027621160563,29.355920388469396,6.054680196064815,0.0,133.0,1.0,133.0,0.0,0.3350220730457999
nb2,4,E055::dakshin%20dinajpur,2017-0342-IND,19.0,24.689390992102734,4.355027621160563,5.689390992102734,4.9030683411880585,0.0,123.0,1.0,123.0,0.0,0.3408820862729091
nb2,4,E055::hooghly,2017-0342-IND,2.0,35.72866885098314,4.355027621160563,33.72866885098314,3.131012376118309,0.0,178.0,1.0,178.0,0.0,0.3133524278597566
nb2,4,E055::howrah,2017-0342-IND,2.0,41.01195273168606,4.355027621160563,39.01195273168606,3.1608443537402904,0.0,204.0,1.0,204.0,0.0,0.30364237585209797
nb2,4,E055::jalpaiguri,2017-0342-IND,95.0,30.850448569944525,4.355027621160563,64.14955143005548,6.718510073931414,0.0,154.0,1.0,154.0,0.0,0.3240200642625903
nb2,4,E055::malda,2017-0342-IND,97.0,27.966475564178698,4.355027621160563,69.0335244358213,6.800883972843915,0.0,139.0,1.0,139.0,0.0,0.33134712545771094
nb2,4,E055::murshidabad,2017-0342-IND,3.0,31.620881736632068,4.355027621160563,28.620881736632068,3.408833115539475,0.0,157.0,1.0,157.0,0.0,0.32220335411958007
nb2,4,E055::uttar%20dinajpur,2017-0342-IND,25.0,26.356045768018888,4.355027621160563,1.3560457680188875,5.169201035038035,0.0,131.0,1.0,131.0,0.0,0.3358520649256323
