model,term,se_type,coefficient,standard_error,p_value,ci_low,ci_high,irr,irr_ci_low,irr_ci_high,irr_10pp,irr_10pp_ci_low,irr_10pp_ci_high,n,alpha
model_3,C(year)[T.2017],ordinary,0.22178716542094265,0.30826018749836376,0.4718449695977348,-0.3823916999434145,0.8259660307852998,1.248305666977888,0.6822277722820476,2.284086197483161,,,,1074,3.760385847979231
model_3,C(year)[T.2018],ordinary,0.5593221266593629,0.31457279612435457,0.07539774903625222,-0.0572292242604332,1.175873477579159,1.7494861682168366,0.94437757030393,3.2409726247490194,,,,1074,3.760385847979231
model_3,C(year)[T.2019],ordinary,0.28880688156345186,0.29163860959033244,0.3220322541134836,-0.2827942897349373,0.860408052861841,1.3348339225955872,0.7536748105593415,2.364125184958177,,,,1074,3.760385847979231
model_3,C(year)[T.2020],ordinary,-2.0114935665749374,0.31018403306103487,8.882648858775545e-11,-2.6194430999539473,-1.4035440331959275,0.1337887030355469,0.07284341803664776,0.24572456293756706,,,,1074,3.760385847979231
model_3,C(year)[T.2021],ordinary,-0.5772011359694046,0.3214654080095133,0.07256912314180533,-1.2072617579435243,0.05285948600471524,0.5614676410328742,0.2990149347197039,1.0542814934061118,,,,1074,3.760385847979231
model_3,C(year)[T.2022],ordinary,0.17430557020527787,0.3858647195236287,0.6514655564277131,-0.581975382965684,0.9305865233762396,1.1904192669091807,0.5587934445509338,2.535996162530899,,,,1074,3.760385847979231
model_3,C(year)[T.2023],ordinary,-0.25802568704740303,0.32523699211449375,0.4275758685261254,-0.8954784780319484,0.3794271039371423,0.772575386671464,0.408412135647315,1.4614470922724798,,,,1074,3.760385847979231
model_3,C(year)[T.2024],ordinary,0.1543771996107004,0.32979780100810285,0.6397155750279073,-0.4920146125456887,0.8007690117670895,1.1669309696811498,0.6113934317526788,2.227253053892531,,,,1074,3.760385847979231
model_3,C(year)[T.2025],ordinary,0.20053379406145216,0.3462094010596517,0.5624360901992801,-0.4780241631246484,0.8790917512475527,1.2220549097409523,0.6200072154893641,2.408711003860222,,,,1074,3.760385847979231
model_3,log_flood_area,ordinary,-0.004436052094923333,0.03772033049691658,0.9063816381781573,-0.07836654135382767,0.06949443716398102,0.9955737726511071,0.9246254509584717,1.0719660980165637,,,,1074,3.760385847979231
