event_district_id,event_id,source_record_id,state,district,start_date,candidate_article_count,heuristic_pass_count,final_article_count,count_source,collection_status,query_collection_status,missing_text_count,weak_text_count
E038::nalbari,E038,2016-0267-IND,Assam,Nalbari,2016-07-28,0,0,,heuristic,incomplete,incomplete,0,0
E039::chhota%20udaipur,E039,2016-0304-IND,Gujarat,Chhota Udaipur,2016-08-01,0,0,,heuristic,incomplete,incomplete,0,0
E039::navsari,E039,2016-0304-IND,Gujarat,Navsari,2016-08-01,0,0,,heuristic,incomplete,incomplete,0,0
E039::surat,E039,2016-0304-IND,Gujarat,Surat,2016-08-01,0,0,,heuristic,incomplete,incomplete,0,0
E039::tapi,E039,2016-0304-IND,Gujarat,Tapi,2016-08-01,0,0,,heuristic,incomplete,incomplete,0,0
E039::vadodara,E039,2016-0304-IND,Gujarat,Vadodara,2016-08-01,0,0,,heuristic,incomplete,incomplete,0,0
E039::valsad,E039,2016-0304-IND,Gujarat,Valsad,2016-08-01,0,0,,heuristic,incomplete,incomplete,0,0
E040::kolhapur,E040,2016-0304-IND,Maharashtra,Kolhapur,2016-08-01,0,0,,heuristic,incomplete,incomplete,0,0
E040::nashik,E040,2016-0304-IND,Maharashtra,Nashik,2016-08-01,0,0,,heuristic,incomplete,incomplete,0,0
E040::palghar,E040,2016-0304-IND,Maharashtra,Palghar,2016-08-01,0,0,,heuristic,incomplete,incomplete,0,0
E040::pune,E040,2016-0304-IND,Maharashtra,Pune,2016-08-01,0,0,,heuristic,incomplete,incomplete,0,0
E040::raigarh,E040,2016-0304-IND,Maharashtra,Raigarh,2016-08-01,0,0,,heuristic,incomplete,incomplete,0,0
E040::ratnagiri,E040,2016-0304-IND,Maharashtra,Ratnagiri,2016-08-01,0,0,,heuristic,incomplete,incomplete,0,0
E040::satara,E040,2016-0304-IND,Maharashtra,Satara,2016-08-01,0,0,,heuristic,incomplete,incomplete,0,0
E040::thane,E040,2016-0304-IND,Maharashtra,Thane,2016-08-01,0,0,,heuristic,incomplete,incomplete,0,0
E041::district_missing,E041,2016-0391-IND,Andhra Pradesh,district_missing,2016-09-21,0,0,,heuristic,missing,missing,0,0
E042::district_missing,E042,2016-0391-IND,Telangana,district_missing,2016-09-21,0,0,,heuristic,missing,missing,0,0
E043::district_missing,E043,2017-0257-IND,Gujarat,district_missing,2017-06-01,0,0,,heuristic,missing,missing,0,0
E044::banaskantha,E044,2017-0294-IND,Gujarat,Banaskantha,2017-06-01,0,0,,heuristic,missing,missing,0,0
E044::navsari,E044,2017-0294-IND,Gujarat,Navsari,2017-06-01,0,0,,heuristic,missing,missing,0,0
E044::patan,E044,2017-0294-IND,Gujarat,Patan,2017-06-01,0,0,,heuristic,missing,missing,0,0
E044::sabarkantha,E044,2017-0294-IND,Gujarat,Sabarkantha,2017-06-01,0,0,,heuristic,missing,missing,0,0
E044::surat,E044,2017-0294-IND,Gujarat,Surat,2017-06-01,0,0,,heuristic,missing,missing,0,0
E044::valsad,E044,2017-0294-IND,Gujarat,Valsad,2017-06-01,0,0,,heuristic,missing,missing,0,0
E045::barmer,E045,2017-0294-IND,Rajasthan,Barmer,2017-06-01,0,0,,heuristic,missing,missing,0,0
E045::jalore,E045,2017-0294-IND,Rajasthan,Jalore,2017-06-01,0,0,,heuristic,missing,missing,0,0
E045::pali,E045,2017-0294-IND,Rajasthan,Pali,2017-06-01,0,0,,heuristic,missing,missing,0,0
E045::sirohi,E045,2017-0294-IND,Rajasthan,Sirohi,2017-06-01,0,0,,heuristic,missing,missing,0,0
E045::udaipur,E045,2017-0294-IND,Rajasthan,Udaipur,2017-06-01,0,0,,heuristic,missing,missing,0,0
E046::kolkata,E046,2017-0294-IND,West Bengal,Kolkata,2017-06-01,0,0,,heuristic,missing,missing,0,0
E047::darrang,E047,2017-0180-IND,Assam,Darrang,2017-06-04,0,0,,heuristic,missing,missing,0,0
E047::karimganj,E047,2017-0180-IND,Assam,Karimganj,2017-06-04,0,0,,heuristic,missing,missing,0,0
E047::lakhimpur,E047,2017-0180-IND,Assam,Lakhimpur,2017-06-04,0,0,,heuristic,missing,missing,0,0
E048::district_missing,E048,2017-0180-IND,Jharkhand,district_missing,2017-06-04,0,0,,heuristic,missing,missing,0,0
E049::district_missing,E049,2017-0180-IND,Manipur,district_missing,2017-06-04,0,0,,heuristic,missing,missing,0,0
E050::district_missing,E050,2017-0180-IND,Nagaland,district_missing,2017-06-04,0,0,,heuristic,missing,missing,0,0
E051::barpeta,E051,2017-0289-IND,Assam,Barpeta,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::bongaigaon,E051,2017-0289-IND,Assam,Bongaigaon,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::cachar,E051,2017-0289-IND,Assam,Cachar,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::charaideo,E051,2017-0289-IND,Assam,Charaideo,2017-06-25,0,0,,heuristic,missing,missing,0,0
E051::chirang,E051,2017-0289-IND,Assam,Chirang,2017-06-25,0,0,,heuristic,missing,missing,0,0
E051::darrang,E051,2017-0289-IND,Assam,Darrang,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::dhemaji,E051,2017-0289-IND,Assam,Dhemaji,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::dhubri,E051,2017-0289-IND,Assam,Dhubri,2017-06-25,0,0,,heuristic,missing,missing,0,0
E051::dhuburi,E051,2017-0289-IND,Assam,Dhuburi,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::dibrugarh,E051,2017-0289-IND,Assam,Dibrugarh,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::goalpara,E051,2017-0289-IND,Assam,Goalpara,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::golaghat,E051,2017-0289-IND,Assam,Golaghat,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::jorhat,E051,2017-0289-IND,Assam,Jorhat,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::karbi%20anglong,E051,2017-0289-IND,Assam,Karbi Anglong,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
E051::karimganj,E051,2017-0289-IND,Assam,Karimganj,2017-06-25,0,0,,heuristic,incomplete,incomplete,0,0
