event_district_id,event_id,state,district,start_date,year,aoi_status,aoi_error,aoi_area_km2,eligible_km2,utm_epsg,grid_tiles,grid_blocks,s1_pre_images,s1_post_images,sr_pre_images,sr_post_images,sr_baseline_candidates,sr_baseline_months,sr_post_seen_frac,sr_pre_seen_frac,sr_optical_observed_frac,sr_status,sr_reason,sr_kept_tiles,sr_kept_km2,sr_usable_km2,sr_usable_frac,sr_new_water_c_km2,sr_fine_scale_m,sr_error,l1c_pre_images,l1c_post_images,l1c_baseline_candidates,l1c_baseline_months,l1c_post_seen_frac,l1c_pre_seen_frac,l1c_optical_observed_frac,l1c_status,l1c_reason,l1c_kept_tiles,l1c_kept_km2,l1c_usable_km2,l1c_usable_frac,l1c_new_water_c_km2,l1c_fine_scale_m,l1c_error,probe_version,spec_version,elapsed_s
E022::jalpaiguri,E022,West Bengal,Jalpaiguri,2015-07-15,2015,matched,,6200.341,5845.139,EPSG:32645,25984.0,105.0,15.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,17.2
E022::maldah,E022,West Bengal,Maldah,2015-07-15,2015,matched,,3589.384,3441.157,EPSG:32645,16983.0,70.0,6.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,6.3
E023::district_missing,E023,Assam,district_missing,2015-08-13,2015,unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feas-1,fs1-7f9da549b693,0.0
E024::barpeta,E024,Assam,Barpeta,2015-08-28,2015,matched,,3253.623,2977.258,EPSG:32646,12726.0,56.0,5.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,15.0
E024::bongaigaon,E024,Assam,Bongaigaon,2015-08-28,2015,matched,,2332.583,2044.969,EPSG:32646,10830.0,48.0,3.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,20.1
E024::cachar,E024,Assam,Cachar,2015-08-28,2015,matched,,3806.33,1827.769,EPSG:32646,18088.0,81.0,4.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,12.2
E024::darrang,E024,Assam,Darrang,2015-08-28,2015,matched,,3426.968,3280.833,EPSG:32646,12932.0,56.0,3.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,8.7
E024::dhemaji,E024,Assam,Dhemaji,2015-08-28,2015,matched,,2503.348,2349.83,EPSG:32646,20291.0,91.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,6.0
E024::dibrugarh,E024,Assam,Dibrugarh,2015-08-28,2015,matched,,3397.482,3081.661,EPSG:32646,15301.0,63.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,7.4
E024::goalpara,E024,Assam,Goalpara,2015-08-28,2015,matched,,1904.606,1570.114,EPSG:32646,9240.0,40.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,unavailable,no_post_imagery,,,,,,,,feas-1,fs1-7f9da549b693,4.7
