model,fold_id,event_district_id,source_record_id,observed,expected,alpha,absolute_error,negative_log_probability,predictive_low_90,predictive_high_90,interval_covered,interval_width,observed_zero,predicted_zero_probability
poisson,2,E067::sonitpur,2018-0345-IND,9.0,27.95934681196791,,18.95934681196791,10.78441029187325,20.0,37.0,0.0,17.0,0.0,7.201284385260336e-13
poisson,2,E067::udalguri,2018-0345-IND,5.0,26.463794080234965,,21.463794080234965,14.872398134600772,18.0,35.0,0.0,17.0,0.0,3.2130705439882485e-12
poisson,2,E068::bankura,2018-0345-IND,2.0,30.203449397712518,,28.203449397712518,24.080684305621077,21.0,40.0,0.0,19.0,0.0,7.634992101852555e-14
poisson,2,E100::puducherry,2019-0574-IND,8.0,25.475453321809127,,17.475453321809127,10.178333234777048,17.0,34.0,0.0,17.0,0.0,8.632790435312103e-12
poisson,2,E101::coimbatore,2019-0574-IND,14.0,26.40953688529126,,12.40953688529126,5.768605399997579,18.0,35.0,0.0,17.0,0.0,3.3922188341630027e-12
poisson,2,E101::cuddalore,2019-0574-IND,16.0,29.094758905094057,,13.094758905094057,5.8376901855396355,21.0,38.0,0.0,17.0,0.0,2.313698447732336e-13
poisson,2,E101::nagapattinam,2019-0574-IND,5.0,28.778522181127112,,23.778522181127112,16.767867167276062,20.0,38.0,0.0,18.0,0.0,3.174290134923863e-13
poisson,2,E101::thiruvarur,2019-0574-IND,0.0,27.473894067683368,,27.473894067683368,27.473894067683368,19.0,36.0,0.0,17.0,1.0,1.170144269233528e-12
poisson,2,E101::thoothukudi,2019-0574-IND,5.0,28.87574051823691,,23.87574051823691,16.848223190187255,20.0,38.0,0.0,18.0,0.0,2.8802171502150333e-13
poisson,2,E139::bongaigaon,2021-0366-IND,3.0,29.251059738938576,,26.251059738938576,20.91507179792876,21.0,38.0,0.0,17.0,0.0,1.9789105578778002e-13
poisson,2,E139::dhemaji,2021-0366-IND,3.0,28.878758171654614,,25.878758171654614,20.581198700371658,20.0,38.0,0.0,18.0,0.0,2.871538753869777e-13
poisson,2,E139::dibrugarh,2021-0366-IND,3.0,29.08768577305134,,26.08768577305134,20.768500496364105,21.0,38.0,0.0,17.0,0.0,2.330121555294829e-13
poisson,2,E142::jamnagar,2021-0585-IND,23.0,30.268015276237282,,7.268015276237282,3.4425851127792235,22.0,40.0,1.0,18.0,0.0,7.157609279319843e-14
poisson,2,E142::junagadh,2021-0585-IND,7.0,29.60159702507103,,22.60159702507103,14.411960192166546,21.0,39.0,0.0,18.0,0.0,1.3937656485905715e-13
poisson,2,E142::porbandar,2021-0585-IND,4.0,29.917419293033287,,25.917419293033287,19.5017095401367,21.0,39.0,0.0,18.0,0.0,1.0163186337546067e-13
poisson,2,E142::rajkot,2021-0585-IND,31.0,29.805547181290674,,1.1944528187093262,2.662240515054801,21.0,39.0,1.0,18.0,0.0,1.136620092709424e-13
poisson,2,E142::valsad,2021-0585-IND,3.0,27.5847057369816,,24.5847057369816,19.42468076871053,19.0,36.0,0.0,17.0,0.0,1.047404688260557e-12
poisson,2,E144::nainital,2021-0681-IND,152.0,26.963180681348465,,125.03681931865154,141.2646638426585,19.0,36.0,0.0,17.0,0.0,1.9500215710279432e-12
poisson,2,E145::ariyalur,2021-0722-IND,2.0,28.618185736455064,,26.618185736455064,22.60324815569423,20.0,38.0,0.0,18.0,0.0,3.7263174697976497e-13
