model,term,se_type,coefficient,standard_error,p_value,ci_low,ci_high,irr,irr_ci_low,irr_ci_high,irr_10pp,irr_10pp_ci_low,irr_10pp_ci_high,n,alpha
source_event_robustness,C(source_record_id)[T.2018-0213-IND],ordinary,-2.8326617285976994,1.2530096809120517,0.02377869391688627,-5.288515575465346,-0.37680788173005286,0.05885598633095893,0.005049249929868091,0.6860478635646622,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2018-0216-IND],ordinary,-0.36929752145681,1.3890580764248528,0.7903456230678187,-3.0918013236840074,2.353206280770387,0.6912197271540301,0.04542006443379868,10.519243360019434,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2018-0286-IND],ordinary,-2.0599292055898504,1.1487616626386454,0.0729451533854815,-4.3114606911819475,0.19160228000224633,0.12746299324283822,0.013413941650872053,1.2111887071886578,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2018-0295-IND],ordinary,0.2234424230800824,0.8204875072051911,0.785369171546228,-1.3846835408071403,1.8315683869673052,1.2503736455406107,0.25040302959517036,6.243671476300188,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2018-0345-IND],ordinary,-1.8330542907637586,0.9725172403745048,0.05944937427016838,-3.7391530562420705,0.07304447471455333,0.15992436555994063,0.02377423004265513,1.0757783807871824,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2018-0370-IND],ordinary,-2.6653552127356757,0.881374406417434,0.002493825340830953,-4.392817306209214,-0.9378931192621367,0.06957463534686642,0.012365841736450283,0.3914517092177324,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2018-0372-IND],ordinary,-3.3356128949164567,0.9793211805074915,0.0006591109610505517,-5.25504713800839,-1.416178651824524,0.0355927649002996,0.005221100173914171,0.2426394574035277,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2019-0288-IND],ordinary,0.6949347930429458,1.2279890391115562,0.5714530168538519,-1.711879497025652,3.1017490831115437,2.0035784224293818,0.18052617515283817,22.236811317948643,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2019-0331-IND],ordinary,-1.0989064164442817,0.8211423625661007,0.18080993490151642,-2.7083158732539703,0.510503040365407,0.3332353051583873,0.06664895754239739,1.6661291143730788,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2019-0383-IND],ordinary,0.09232376441052476,0.877900249378058,0.9162454387809306,-1.628329106389201,1.8129766352102505,1.0967198434597005,0.1962572252593461,6.128663102460688,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2019-0499-IND],ordinary,-2.2192773653003814,0.9271609368563773,0.01668270892932863,-4.036479409411296,-0.40207532118946654,0.10868762190040926,0.01765953509593565,0.6689303591624616,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2019-0574-IND],ordinary,-2.617629636050877,1.0435524342429385,0.012128497827167585,-4.662954823146139,-0.5723044489556144,0.0729756367965726,0.009438531964566446,0.5642237146473343,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2020-0206-IND],ordinary,-0.8317845067944063,1.083838505551662,0.44281804323791474,-2.956068942733379,1.2924999291445665,0.43527184728632967,0.052023021213123175,3.6418796260195063,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2020-0304-IND],ordinary,-4.132685126286166,0.8197885553141501,4.62718814290007e-07,-5.739441169640022,-2.5259290829323096,0.016039752188046267,0.0032165652874851206,0.07998396651699399,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2020-0446-IND],ordinary,-2.320613545222091,0.8797756424561614,0.008346218293982828,-4.044942118911755,-0.596284971532427,0.09821330880861713,0.01751071816588585,0.5508542788341322,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2021-0316-IND],ordinary,-3.9477736960485625,0.866309065606258,5.1888487981127684e-06,-5.645708264117375,-2.24983912797975,0.019297616346747863,0.003532645468830756,0.1054161817119813,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2021-0366-IND],ordinary,-3.307853272364207,1.2743286327821468,0.009438153821649201,-5.805491497085383,-0.8102150476430312,0.036594648234622315,0.003010974504155786,0.4447624108299185,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2021-0435-IND],ordinary,-7.437743696619276,1.329983361634261,2.2400575342840007e-08,-10.044463185459938,-4.831024207778615,0.0005886117871541769,4.342552372503667e-05,0.007978345596257777,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2021-0458-IND],ordinary,-1.3311312072323445,1.0837812296782694,0.21936112902674387,-3.455303384522285,0.7930409700575958,0.26417825186175553,0.03157772271038344,2.2101070871011412,,,,1065,2.5916006204196327
source_event_robustness,C(source_record_id)[T.2021-0585-IND],ordinary,-2.202649823393008,1.0858027324270898,0.04249994980835668,-4.330784073265285,-0.0745155735207308,0.11050993822364956,0.013157227214578184,0.9281930187132043,,,,1065,2.5916006204196327
