event_district_id,event_id,source_record_id,start_date,state,district,flood_area_km2,flood_ratio,aoi_area_km2,satellite_source,satellite_status,district_match_status,geometry_id,aoi_match_status,analysis_observation_status,route_reason,cloud_pct,otsu_fallback_used,s1_orbit,eligible_km2,flood_ratio_eligible,sits_status,converter_decision,legacy_flood_area_km2,legacy_satellite_source,spec_version
E023::dibrugarh,E023,2015-0374-IND,2015-08-13,Assam,Dibrugarh,,,3397.4818067287138,NONE,missing,matched,17580.0,matched,missing,,,,,,,,,,NONE,
E023::goalpara,E023,2015-0374-IND,2015-08-13,Assam,Goalpara,,,1904.60564716237,NONE,missing,matched,17581.0,matched,missing,,,,,,,,,,NONE,
E023::jorhat,E023,2015-0374-IND,2015-08-13,Assam,Jorhat,,,2842.716884638612,NONE,missing,matched,70089.0,matched,missing,,,,,,,,,,NONE,
E023::kamrup,E023,2015-0374-IND,2015-08-13,Assam,Kamrup,,,4348.6225796054405,NONE,missing,matched,17583.0,matched,missing,,,,,,,,,,NONE,
E023::kokrajhar,E023,2015-0374-IND,2015-08-13,Assam,Kokrajhar,,,3329.2233881813268,NONE,missing,matched,70090.0,matched,missing,,,,,,,,,,NONE,
E023::lakhimpur,E023,2015-0374-IND,2015-08-13,Assam,Lakhimpur,,,2886.5239581816727,NONE,missing,matched,70091.0,matched,missing,,,,,,,,,,NONE,
E023::morigaon,E023,2015-0374-IND,2015-08-13,Assam,Morigaon,,,1508.3262903435707,NONE,missing,matched,76128533B17968019348564,matched,missing,,,,,,,,,,NONE,
E023::nagaon,E023,2015-0374-IND,2015-08-13,Assam,Nagaon,,,3997.4423095607103,NONE,missing,matched,17589.0,matched,missing,,,,,,,,,,NONE,
E023::nalbari,E023,2015-0374-IND,2015-08-13,Assam,Nalbari,,,2339.8796955273547,NONE,missing,matched,17590.0,matched,missing,,,,,,,,,,NONE,
E023::sonitpur,E023,2015-0374-IND,2015-08-13,Assam,Sonitpur,,,4676.158375740257,NONE,missing,matched,17593.0,matched,missing,,,,,,,,,,NONE,
E023::tinsukia,E023,2015-0374-IND,2015-08-13,Assam,Tinsukia,,,3799.190193815676,NONE,missing,matched,70093.0,matched,missing,,,,,,,,,,NONE,
E023::udalguri,E023,2015-0374-IND,2015-08-13,Assam,Udalguri,,,2056.2913712488385,NONE,missing,matched,76128533B20307518801538,matched,missing,,,,,,,,,,NONE,
E024::barpeta,E024,2015-0406-IND,2015-08-28,Assam,Barpeta,,,3253.622989828742,NONE,missing,matched,17576.0,matched,missing,,,,,,,,,,NONE,
E024::bongaigaon,E024,2015-0406-IND,2015-08-28,Assam,Bongaigaon,,,2332.582799042809,NONE,missing,matched,70086.0,matched,missing,,,,,,,,,,NONE,
E024::cachar,E024,2015-0406-IND,2015-08-28,Assam,Cachar,,,3806.329961738336,NONE,missing,matched,17577.0,matched,missing,,,,,,,,,,NONE,
E024::darrang,E024,2015-0406-IND,2015-08-28,Assam,Darrang,,,3426.9679336953163,NONE,missing,matched,17578.0,matched,missing,,,,,,,,,,NONE,
E024::dhemaji,E024,2015-0406-IND,2015-08-28,Assam,Dhemaji,,,2503.3476339074205,NONE,missing,matched,70087.0,matched,missing,,,,,,,,,,NONE,
E024::dibrugarh,E024,2015-0406-IND,2015-08-28,Assam,Dibrugarh,,,3397.4818067287138,NONE,missing,matched,17580.0,matched,missing,,,,,,,,,,NONE,
E024::goalpara,E024,2015-0406-IND,2015-08-28,Assam,Goalpara,,,1904.60564716237,NONE,missing,matched,17581.0,matched,missing,,,,,,,,,,NONE,
E024::jorhat,E024,2015-0406-IND,2015-08-28,Assam,Jorhat,,,2842.716884638612,NONE,missing,matched,70089.0,matched,missing,,,,,,,,,,NONE,
E024::kamrup,E024,2015-0406-IND,2015-08-28,Assam,Kamrup,,,4348.6225796054405,NONE,missing,matched,17583.0,matched,missing,,,,,,,,,,NONE,
E024::kokrajhar,E024,2015-0406-IND,2015-08-28,Assam,Kokrajhar,,,3329.2233881813268,NONE,missing,matched,70090.0,matched,missing,,,,,,,,,,NONE,
E024::lakhimpur,E024,2015-0406-IND,2015-08-28,Assam,Lakhimpur,,,2886.5239581816727,NONE,missing,matched,70091.0,matched,missing,,,,,,,,,,NONE,
E024::morigaon,E024,2015-0406-IND,2015-08-28,Assam,Morigaon,,,1508.3262903435684,NONE,missing,matched,76128533B17968019348564,matched,missing,,,,,,,,,,NONE,
E024::nalbari,E024,2015-0406-IND,2015-08-28,Assam,Nalbari,,,2339.8796955273547,NONE,missing,matched,17590.0,matched,missing,,,,,,,,,,NONE,
