event_district_id,event_id,source_record_id,start_date,state,district,aoi_level,aoi_source,aoi_match_status,geometry_id,aoi_area_km2,spec_version,aoi_error,aoi_boundary_year,aoi_match_method,aoi_reference_name,aoi_historical_boundary_verified,aoi_match_evidence,aoi_boundary_note,aoi_lgd_code
E012::barabanki,E012,2015-0333-IND,2015-07-07,Uttar Pradesh,Barabanki,district,FAO/GAUL/2015/level2,matched,17896.0,4440.0005417469865,fs1-3016a20fd3ad,,,,,,,,
E013::nainital,E013,2015-0333-IND,2015-07-07,Uttarakhand,Nainital,district,FAO/GAUL/2015/level2,matched,70285.0,4068.963433579816,fs1-3016a20fd3ad,,,,,,,,
E014::east%20kameng,E014,2015-0413-IND,2015-07-14,Arunachal Pradesh,East Kameng,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B76129461078086,4466.180297949177,fs1-3016a20fd3ad,,2021.0,exact_or_spacing,East Kameng,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E015::dhemaji,E015,2015-0413-IND,2015-07-14,Assam,Dhemaji,district,FAO/GAUL/2015/level2,matched,70087.0,2503.3476339074205,fs1-3016a20fd3ad,,,,,,,,
E015::kokrajhar,E015,2015-0413-IND,2015-07-14,Assam,Kokrajhar,district,FAO/GAUL/2015/level2,matched,70090.0,3329.2233881813268,fs1-3016a20fd3ad,,,,,,,,
E015::lakhimpur,E015,2015-0413-IND,2015-07-14,Assam,Lakhimpur,district,FAO/GAUL/2015/level2,matched,70091.0,2886.5239581816727,fs1-3016a20fd3ad,,,,,,,,
E015::sonitpur,E015,2015-0413-IND,2015-07-14,Assam,Sonitpur,district,FAO/GAUL/2015/level2,matched,17593.0,4676.158375740257,fs1-3016a20fd3ad,,,,,,,,
E016::baksa,E016,2015-0317-IND,2015-07-15,Assam,Baksa,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B8221925175605,2398.6209171216783,fs1-3016a20fd3ad,,2021.0,exact_or_spacing,Baksa,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E016::barpeta,E016,2015-0317-IND,2015-07-15,Assam,Barpeta,district,FAO/GAUL/2015/level2,matched,17576.0,3253.622989828742,fs1-3016a20fd3ad,,,,,,,,
E016::bongaigaon,E016,2015-0317-IND,2015-07-15,Assam,Bongaigaon,district,FAO/GAUL/2015/level2,matched,70086.0,2332.582799042809,fs1-3016a20fd3ad,,,,,,,,
E016::cachar,E016,2015-0317-IND,2015-07-15,Assam,Cachar,district,FAO/GAUL/2015/level2,matched,17577.0,3806.329961738336,fs1-3016a20fd3ad,,,,,,,,
E016::darrang,E016,2015-0317-IND,2015-07-15,Assam,Darrang,district,FAO/GAUL/2015/level2,matched,17578.0,3426.9679336953163,fs1-3016a20fd3ad,,,,,,,,
E016::dhemaji,E016,2015-0317-IND,2015-07-15,Assam,Dhemaji,district,FAO/GAUL/2015/level2,matched,70087.0,2503.3476339074205,fs1-3016a20fd3ad,,,,,,,,
E016::dhubri,E016,2015-0317-IND,2015-07-15,Assam,Dhubri,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B25835998628545,1790.280077462252,fs1-3016a20fd3ad,,2021.0,exact_or_spacing,Dhubri,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E016::dibrugarh,E016,2015-0317-IND,2015-07-15,Assam,Dibrugarh,district,FAO/GAUL/2015/level2,matched,17580.0,3397.4818067287138,fs1-3016a20fd3ad,,,,,,,,
E016::goalpara,E016,2015-0317-IND,2015-07-15,Assam,Goalpara,district,FAO/GAUL/2015/level2,matched,17581.0,1904.60564716237,fs1-3016a20fd3ad,,,,,,,,
E016::jorhat,E016,2015-0317-IND,2015-07-15,Assam,Jorhat,district,FAO/GAUL/2015/level2,matched,70089.0,2842.716884638612,fs1-3016a20fd3ad,,,,,,,,
E016::kamrup,E016,2015-0317-IND,2015-07-15,Assam,Kamrup,district,FAO/GAUL/2015/level2,matched,17583.0,4348.6225796054405,fs1-3016a20fd3ad,,,,,,,,
E016::karbi%20anglong,E016,2015-0317-IND,2015-07-15,Assam,Karbi Anglong,district,FAO/GAUL/2015/level2,matched,17584.0,10446.406497647093,fs1-3016a20fd3ad,,,,,,,,
E016::kokrajhar,E016,2015-0317-IND,2015-07-15,Assam,Kokrajhar,district,FAO/GAUL/2015/level2,matched,70090.0,3329.2233881813268,fs1-3016a20fd3ad,,,,,,,,
E016::lakhimpur,E016,2015-0317-IND,2015-07-15,Assam,Lakhimpur,district,FAO/GAUL/2015/level2,matched,70091.0,2886.5239581816727,fs1-3016a20fd3ad,,,,,,,,
E016::morigaon,E016,2015-0317-IND,2015-07-15,Assam,Morigaon,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B17968019348564,1508.3262903435684,fs1-3016a20fd3ad,,2021.0,exact_or_spacing,Morigaon,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E016::nagaon,E016,2015-0317-IND,2015-07-15,Assam,Nagaon,district,FAO/GAUL/2015/level2,matched,17589.0,3997.4423095607103,fs1-3016a20fd3ad,,,,,,,,
E016::nalbari,E016,2015-0317-IND,2015-07-15,Assam,Nalbari,district,FAO/GAUL/2015/level2,matched,17590.0,2339.8796955273547,fs1-3016a20fd3ad,,,,,,,,
E016::sonitpur,E016,2015-0317-IND,2015-07-15,Assam,Sonitpur,district,FAO/GAUL/2015/level2,matched,17593.0,4676.158375740257,fs1-3016a20fd3ad,,,,,,,,
E016::tinsukia,E016,2015-0317-IND,2015-07-15,Assam,Tinsukia,district,FAO/GAUL/2015/level2,matched,70093.0,3799.190193815676,fs1-3016a20fd3ad,,,,,,,,
E016::udalguri,E016,2015-0317-IND,2015-07-15,Assam,Udalguri,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B20307518801538,2056.2913712488325,fs1-3016a20fd3ad,,2021.0,exact_or_spacing,Udalguri,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E017::banaskantha,E017,2015-0317-IND,2015-07-15,Gujarat,Banaskantha,district,FAO/GAUL/2015/level2,matched,17637.0,10638.731207971712,fs1-3016a20fd3ad,,,,,,,,
E017::kutch,E017,2015-0317-IND,2015-07-15,Gujarat,Kutch,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B91881382098572,42739.022712293714,fs1-3016a20fd3ad,,2021.0,census_label_alias,Kachchh,False,https://censusindia.gov.in/nada/index.php/catalog/42557,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E017::patan,E017,2015-0317-IND,2015-07-15,Gujarat,Patan,district,FAO/GAUL/2015/level2,matched,70129.0,6017.262722245363,fs1-3016a20fd3ad,,,,,,,,
E019::bishnupur,E019,2015-0317-IND,2015-07-15,Manipur,Bishnupur,district,FAO/GAUL/2015/level2,matched,70188.0,481.84963420103696,fs1-3016a20fd3ad,,,,,,,,
E019::chandel,E019,2015-0317-IND,2015-07-15,Manipur,Chandel,district,FAO/GAUL/2015/level2,matched,70189.0,3203.022279023179,fs1-3016a20fd3ad,,,,,,,,
E019::churachandpur,E019,2015-0317-IND,2015-07-15,Manipur,Churachandpur,district,FAO/GAUL/2015/level2,matched,70190.0,4763.149584333486,fs1-3016a20fd3ad,,,,,,,,
E019::jiribam,E019,2015-0317-IND,2015-07-15,Manipur,Jiribam,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B64881202564500,146.20809022147196,fs1-3016a20fd3ad,,2021.0,exact_or_spacing,Jiribam,False,https://www.geoboundaries.org/api/current/gbOpen/IND/ADM2/,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E019::thoubal,E019,2015-0317-IND,2015-07-15,Manipur,Thoubal,district,FAO/GAUL/2015/level2,matched,70194.0,715.5847965133187,fs1-3016a20fd3ad,,,,,,,,
E019::ukhrul,E019,2015-0317-IND,2015-07-15,Manipur,Ukhrul,district,FAO/GAUL/2015/level2,matched,70195.0,4426.124966872591,fs1-3016a20fd3ad,,,,,,,,
E020::balasore,E020,2015-0317-IND,2015-07-15,Odisha,Balasore,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B81147724102706,3677.371422806349,fs1-3016a20fd3ad,,2021.0,census_label_alias,Baleshwar,False,https://censusindia.gov.in/nada/index.php/catalog/42557,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E020::bhadrak,E020,2015-0317-IND,2015-07-15,Odisha,Bhadrak,district,FAO/GAUL/2015/level2,matched,70209.0,2454.2507276454426,fs1-3016a20fd3ad,,,,,,,,
E020::deogarh,E020,2015-0317-IND,2015-07-15,Odisha,Deogarh,district,FAO/GAUL/2015/level2,matched,70212.0,2821.6464871491025,fs1-3016a20fd3ad,,,,,,,,
E020::jajpur,E020,2015-0317-IND,2015-07-15,Odisha,Jajpur,district,FAO/GAUL/2015/level2,matched,70215.0,2911.772767533447,fs1-3016a20fd3ad,,,,,,,,
E020::jharsuguda,E020,2015-0317-IND,2015-07-15,Odisha,Jharsuguda,district,FAO/GAUL/2015/level2,matched,70216.0,2125.859964241697,fs1-3016a20fd3ad,,,,,,,,
E020::keonjhar,E020,2015-0317-IND,2015-07-15,Odisha,Keonjhar,district,FAO/GAUL/2015/level2,matched,17813.0,8345.992035086878,fs1-3016a20fd3ad,,,,,,,,
E020::mayurbhanj,E020,2015-0317-IND,2015-07-15,Odisha,Mayurbhanj,district,FAO/GAUL/2015/level2,matched,17816.0,10478.47816152713,fs1-3016a20fd3ad,,,,,,,,
E021::baran,E021,2015-0317-IND,2015-07-15,Rajasthan,Baran,district,FAO/GAUL/2015/level2,matched,70236.0,6837.623843421029,fs1-3016a20fd3ad,,,,,,,,
E021::barmer,E021,2015-0317-IND,2015-07-15,Rajasthan,Barmer,district,FAO/GAUL/2015/level2,matched,17837.0,28422.68727445841,fs1-3016a20fd3ad,,,,,,,,
E021::dungarpur,E021,2015-0317-IND,2015-07-15,Rajasthan,Dungarpur,district,FAO/GAUL/2015/level2,matched,17845.0,3785.079096662621,fs1-3016a20fd3ad,,,,,,,,
E021::jalore,E021,2015-0317-IND,2015-07-15,Rajasthan,Jalore,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B59459156188335,10759.887698144588,fs1-3016a20fd3ad,,2021.0,census_label_alias,Jalor,False,https://censusindia.gov.in/nada/index.php/catalog/42557,"District identity matched; 2021 reference geometry, NOT event-year boundary equivalence. No parent substitution.",
E021::jhalawar,E021,2015-0317-IND,2015-07-15,Rajasthan,Jhalawar,district,FAO/GAUL/2015/level2,matched,17850.0,6261.78152754128,fs1-3016a20fd3ad,,,,,,,,
E021::sirohi,E021,2015-0317-IND,2015-07-15,Rajasthan,Sirohi,district,FAO/GAUL/2015/level2,matched,17858.0,5146.300422974388,fs1-3016a20fd3ad,,,,,,,,
