event_id,sits_detect_km2,sits_threshold,sits_method,ndwi_flood_km2,s1_flood_km2,optical_available,cloud_pct,combined_km2,district_km2,flood_ratio,combined_source
E75,3306.29,0.648,low-conf,19.72,15.7,True,19.6,19.72,8455.4,0.0023,NDWI
E76,713.11,0.664,otsu,0.61,20.61,True,79.3,20.61,8455.4,0.0024,S1(cloud>60)
E77,,,no-sits,,19.7,False,100.0,19.7,2961.8,0.0067,S1(cloud)
E78,316.21,0.211,ndwi-calib,5.71,0.34,True,80.0,0.34,2961.8,0.0001,S1(cloud>60)
E79,290.82,0.335,ndwi-calib,6.82,22.94,True,41.8,6.82,2961.8,0.0023,SITS+NDWI(restored)
E80,680.35,0.252,ndwi-calib,16.21,21.72,True,40.2,13.19,2961.8,0.0045,SITS+NDWI
E81,,,no-sits,,,False,100.0,,10275.8,,none
E82,,,no-sits,,,False,100.0,,10275.8,,none
E83,,,no-sits,,15.09,False,100.0,15.09,10275.8,0.0015,S1(cloud)
E84,,,no-sits,,6.33,False,100.0,6.33,10275.8,0.0006,S1(cloud)
E85,7428.51,0.433,ndwi-calib,28.57,1.66,True,4.5,26.83,10275.8,0.0026,SITS+NDWI
E86,6955.42,0.681,ndwi-calib,7.45,180.42,True,0.1,5.7,10275.8,0.0006,SITS+NDWI
E87,6183.32,0.468,ndwi-calib,15.91,207.01,True,0.1,13.34,10275.8,0.0013,SITS+NDWI
E88,502.58,0.263,ndwi-calib,5.06,40.59,True,23.1,3.05,10275.8,0.0003,SITS+NDWI
E89,,,no-sits,,,False,100.0,,6347.3,,none
E90,,,no-sits,,,False,100.0,,6347.3,,none
E91,,,no-sits,,5.76,False,100.0,5.76,6347.3,0.0009,S1(cloud)
E92,,,no-sits,,6.33,False,100.0,6.33,6347.3,0.001,S1(cloud)
E93,,,no-sits,,,False,100.0,,6347.3,,none
E94,,,no-sits,,4.76,False,100.0,4.76,6347.3,0.0007,S1(cloud)
E95,2639.46,0.46,ndwi-calib,55.84,7.37,True,2.7,45.39,6347.3,0.0072,SITS+NDWI
E96,653.72,0.559,ndwi-calib,5.66,,True,56.1,3.52,6347.3,0.0006,SITS+NDWI
E97,,,no-sits,0.0,19.02,False,100.0,19.02,6347.3,0.003,S1(cloud)
E98,198.25,0.305,otsu,0.23,14.16,True,74.7,14.16,6347.3,0.0022,S1(cloud>60)
E99,,,no-sits,,,False,100.0,,489.0,,none
