state,district,event_rows,status,gaul_name,gaul_code,candidates,source,note
Assam,West Karbi-Anglong,1,boundary_review_required,,,Karbi Anglong | Marigaon,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Bihar,East Champaran,5,boundary_review_required,,,Purba Champaran,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Bihar,Jogbani,1,boundary_review_required,,,Madhubani | Jamui | Gopalganj,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Bihar,Purnea,2,boundary_review_required,,,Purnia,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Bihar,West Champaran,4,boundary_review_required,,,Pashchim Champaran,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Chhattisgarh,Balod,1,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Chhattisgarh,Balodabazar,1,boundary_review_required,,,Bastar,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Chhattisgarh,Balrampur,1,boundary_review_required,,,Bilaspur | Raipur | Bastar,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Chhattisgarh,Bijapur,1,boundary_review_required,,,Bilaspur | Raipur | Jashpur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Chhattisgarh,Gariaband,1,boundary_review_required,,,Mahasamund,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Chhattisgarh,Gariyaband,1,boundary_review_required,,,Mahasamund | Koriya,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Chhattisgarh,Kabirdham,1,boundary_review_required,,,Kawardha | Janjgir-Champa,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Chhattisgarh,Kondagaon,1,boundary_review_required,,,Raj Nandgaon,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Chhattisgarh,Mungeli,1,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Chhattisgarh,Narayanpur,2,boundary_review_required,,,Raipur | Jashpur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Chhattisgarh,Rajnandgaon,1,unique_spacing_match,Raj Nandgaon,70117,Raj Nandgaon,FAO/GAUL/2015/level2,"Same normalized spelling; retains GAUL reference geography, not proof of event-year boundaries"
Chhattisgarh,Sukma,1,boundary_review_required,,,Surguja,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Chhattisgarh,Surajpur,1,boundary_review_required,,,Raipur | Surguja | Jashpur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Delhi,Central Delhi,2,boundary_review_required,,,Delhi,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Delhi,East Delhi,2,boundary_review_required,,,Delhi,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Delhi,North East Delhi,2,boundary_review_required,,,Delhi,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Delhi,Shahdara,2,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Gujarat,Ahmedabad,2,boundary_review_required,,,Ahmadabad,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Gujarat,Aravalli,1,boundary_review_required,,,Amreli | Navsari,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Gujarat,Banaskantha,2,unique_spacing_match,Banas Kantha,17637,Banas Kantha,FAO/GAUL/2015/level2,"Same normalized spelling; retains GAUL reference geography, not proof of event-year boundaries"
Gujarat,Botad,2,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Gujarat,Chhota Udaipur,2,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Gujarat,Dang,2,boundary_review_required,,,The Dangs | Jamnagar | Bhavnagar,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Gujarat,Devbhumi Dwarka,3,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Gujarat,Gir Somnath,2,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Gujarat,Kutch,3,boundary_review_required,,,Kachchh,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Gujarat,Mahisagar,1,boundary_review_required,,,Mahesana | Gandhinagar | Jamnagar,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Gujarat,Mehsana,1,boundary_review_required,,,Mahesana,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Gujarat,Morbi,4,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Gujarat,Panchmahal,1,boundary_review_required,,,Panch Mahals | Gandhinagar | Narmada,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Gujarat,Sabarkantha,2,unique_spacing_match,Sabar Kantha,17648,Sabar Kantha,FAO/GAUL/2015/level2,"Same normalized spelling; retains GAUL reference geography, not proof of event-year boundaries"
Gujarat,Tapi,5,boundary_review_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Haryana,Palwal,1,boundary_review_required,,,Panchkula | Ambala | Panipat,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Haryana,Sonipat,1,boundary_review_required,,,Sonepat | Panipat | Sirsa,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Haryana,Yamunanagar,2,unique_spacing_match,Yamuna Nagar,70138,Yamuna Nagar | Mahendragarh,FAO/GAUL/2015/level2,"Same normalized spelling; retains GAUL reference geography, not proof of event-year boundaries"
Himachal Pradesh,Lahaul and Spiti,2,boundary_review_required,,,Lahul and Spiti,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Jammu and Kashmir,Anantnag,3,alternative_boundary_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Jammu and Kashmir,Bandipora,2,alternative_boundary_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Jammu and Kashmir,Baramulla,1,alternative_boundary_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Jammu and Kashmir,Budgam,1,alternative_boundary_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Jammu and Kashmir,Ganderbal,2,alternative_boundary_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Jammu and Kashmir,Kishtwar,2,alternative_boundary_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Jammu and Kashmir,Pulwama,1,alternative_boundary_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Jammu and Kashmir,Shopian,1,alternative_boundary_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Jammu and Kashmir,Srinagar,1,alternative_boundary_required,,,,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Karnataka,Belagavi,6,boundary_review_required,,,Belgaum,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Karnataka,Chamarajanagar,1,boundary_review_required,,,Chamrajnagar | Chikmagalur | Davanagere,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Karnataka,Chikkamagaluru,5,boundary_review_required,,,Chikmagalur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Karnataka,Dakshina Kannada,2,boundary_review_required,,,Dakshin Kannad | Uttar Kannand,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Karnataka,Kalaburagi,1,boundary_review_required,,,Gulbarga,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Karnataka,Mysuru,1,boundary_review_required,,,Mysore,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Karnataka,Shivamogga,5,boundary_review_required,,,Shimoga,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Karnataka,Uttara Kannada,4,boundary_review_required,,,Uttar Kannand | Dakshin Kannad | Chamrajnagar,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Karnataka,Vijayapura,3,boundary_review_required,,,Bijapur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
Karnataka,Yadgir,2,boundary_review_required,,,Gadag | Raichur,FAO/GAUL/2015/level2,Candidate only; verify administrative history before using geometry
