event_district_id,event_id,source_record_id,start_date,state,district,aoi_level,aoi_source,aoi_match_status,geometry_id,combined_km2,satellite_source,route_reason,routing_mode,optical_footprint,sits_status,sits_reason,converter_decision,s1_flood_km2,ndwi_flood_km2,sits_ndwi_full_km2,sits_ndwi_gated_km2,sits_detect_km2,sits_footprint_km2,sits_usable_km2,sits_usable_frac,sits_s1_usable_km2,sits_threshold,sits_method,optical_available,cloud_pct,optical_observed_frac,otsu_threshold_db,otsu_fallback_used,s1_orbit,s1_post_images,s2_post_images,eligible_km2,builtup_km2,cropland_km2,aoi_area_km2,legacy_combined_km2,legacy_satellite_source,legacy_route_reason,spec_version
E016::dhemaji,E016,2015-0317-IND,2015-07-15,Assam,Dhemaji,district,FAO/GAUL/2015/level2,matched,70087,12.8685,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,12.8685,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,1.0,0.0,2240.4877,21.9993,1222.1808,2503.3476339074205,12.8685,S1,no_optical_s1,fs1-3016a20fd3ad
E016::dhubri,E016,2015-0317-IND,2015-07-15,Assam,Dhubri,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B25835998628545,94.5726,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,94.5726,,,,,,,,,,no-sits,False,100.0,,-14.25,False,ASCENDING,2.0,0.0,1545.8668,29.1865,884.5081,1790.280077462252,94.5726,S1,no_optical_s1,fs1-3016a20fd3ad
E016::dibrugarh,E016,2015-0317-IND,2015-07-15,Assam,Dibrugarh,district,FAO/GAUL/2015/level2,matched,17580,26.6159,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,26.6159,,,,,,,,,,no-sits,False,100.0,,-16.25,False,ASCENDING,1.0,0.0,2887.5515,56.4443,1158.2783,3397.4818067287138,26.6159,S1,no_optical_s1,fs1-3016a20fd3ad
E016::goalpara,E016,2015-0317-IND,2015-07-15,Assam,Goalpara,district,FAO/GAUL/2015/level2,matched,17581,27.8387,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,27.8387,,,,,,,,,,no-sits,False,100.0,,-14.75,False,ASCENDING,2.0,0.0,1408.4225,27.3769,712.6012,1904.60564716237,27.8387,S1,no_optical_s1,fs1-3016a20fd3ad
E016::jorhat,E016,2015-0317-IND,2015-07-15,Assam,Jorhat,district,FAO/GAUL/2015/level2,matched,70089,16.3964,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,16.3964,,,,,,,,,,no-sits,False,100.0,,-15.75,False,ASCENDING,2.0,0.0,2306.1826,46.9407,1139.7231,2842.716884638612,16.3964,S1,no_optical_s1,fs1-3016a20fd3ad
E016::kamrup,E016,2015-0317-IND,2015-07-15,Assam,Kamrup,district,FAO/GAUL/2015/level2,matched,17583,4.3507,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,4.3507,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,1.0,0.0,2833.5254,161.5654,1408.6863,4348.6225796054405,4.3507,S1,no_optical_s1,fs1-3016a20fd3ad
E016::karbi%20anglong,E016,2015-0317-IND,2015-07-15,Assam,Karbi Anglong,district,FAO/GAUL/2015/level2,matched,17584,12.3412,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,12.3412,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,2.0,0.0,2925.3894,20.1574,925.2248,10446.406497647093,12.3412,S1,no_optical_s1,fs1-3016a20fd3ad
E016::kokrajhar,E016,2015-0317-IND,2015-07-15,Assam,Kokrajhar,district,FAO/GAUL/2015/level2,matched,70090,48.58,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,48.58,,,,,,,,,,no-sits,False,100.0,,-16.0,True,ASCENDING,3.0,0.0,3061.7037,20.8028,1277.9815,3329.2233881813268,48.58,S1,no_optical_s1,fs1-3016a20fd3ad
E016::lakhimpur,E016,2015-0317-IND,2015-07-15,Assam,Lakhimpur,district,FAO/GAUL/2015/level2,matched,70091,51.7313,S1,interim_s1_only,s1_interim,aoi,unavailable,no_post_imagery,,51.7313,,,,,,,,,,no-sits,False,100.0,,-13.75,False,ASCENDING,1.0,0.0,2563.3875,26.0117,1480.1181,2886.5239581816727,51.7313,S1,no_optical_s1,fs1-3016a20fd3ad
E016::morigaon,E016,2015-0317-IND,2015-07-15,Assam,Morigaon,district,geoBoundaries/gbOpen/IND/ADM2/2021@8bef6929fd65432e7dc775e7c44473e84efff064ebddbfd6b834e6291546db40,matched,76128533B17968019348564,,NONE,no_s1,s1_interim,,unavailable,no_post_imagery,,,,,,,,,,,,no-sits,False,100.0,,,,,0.0,0.0,1311.7575,29.7776,855.9907,1508.3262903435684,,NONE,no_measurement,fs1-3016a20fd3ad
